# Revenue-mix extraction TODO — auto-generated
# Generated:        2026-09-16T06:48:15.642Z
# Stale threshold:  365 days
# Universe total:   1452
# Skipped (fresh):  0
# Skipped (no BSE): 1109
# Priority breakdown:
#   1 — Glow STRONG BUY (NEW): 0
#   2 — Glow BUY (NEW):        50
#   3 — Other NEW:             293
#   4 — STALE (>365d):           0
# Routine processes TOP 10 rows per daily run.
#
# Format: Company Name, BSECode
Bhatia Communic., 540956
Vikram Thermo, 530477
Valiant Commun., 526775
B C C Fuba India, 517246
Kalyani Cast-Tec, 544023
Cospower Engine., 543172
Trident Lifeline, 543616
Hemant Surgical, 543916
Aayush Art, 540718
Danlaw Tech., 532329
Simm. Marshall, 507998
Foseco Crucible (India), 523160
National Fitting, 531289
Hindusthan Insulators &, 539984
Simplex Castings, 513472
Shivam Chemicals, 544165
Keltech Energies, 506528
Delton Cables, 504240
Maxgrow India, 521167
Sobhagya Mercant, 512014
Sizemasters Tech, 513496
Titan Biotech, 524717
Uni Abex Alloy, 504605
HCP Plastene, 526717
Magna Electrocas, 517449
Jaysynth Orgo, 524592
Prevest Denpro, 543363
Genus Prime, 532425
Forbes Precision, 544186
Pune e-Stock Broking, 544141
BMW Industries, 542669
Khazanchi Jewell, 543953
India Homes, 513361
Ecoplast, 526703
Bambino Agro Ind, 519295
IIRM Holdings, 526530
Shri Venkatesh, 543373
Narmada Gelatine, 526739
Sancode Tech., 543897
Indus Finance, 531841
India Gelatine, 531253
Golkunda Diamond, 523676
Fluidomat, 522017
Bemco Hydraulics, 522650
Qualitek Labs, 544091
Mitsu Chem Plast, 540078
7Seas Enter., 540874
Vipul Organics, 530627
Nitin Castings, 508875
Trishakti Indus, 531279
Indag Rubber, 509162
Sudarshan Pharma, 543828
Chatha Foods, 544151
AMPL Capital, 539598
High Energy Bat., 504176
Emmforce Auto., 544166
Agribio Spirits, 539546
Organic Recyclin, 543997
Captain Techno., 540652
Sera Investments, 512399
JOJO, 531910
Rajasthan Securities, 526873
ADC India, 523411
Ahm. Steelcraft, 522273
United Van Der, 522091
Macfos, 543787
Sanjiv.Parant., 531569
Cosmic CRF, 543928
Transchem, 500422
Remi Edelstahl, 513043
Jattashankar Ind, 514318
Suraj Products, 518075
Emerald Finance, 538882
Sayaji (Indore), 544080
Cochin Minerals, 513353
Novelix Pharma., 536565
JTL Defence, 537254
Sayaji Hot. Pune, 544090
Stellant Secu., 526071
India Finsec, 535667
Ovobel Foods, 530741
Spice IslandsInd, 526827
Kaka Industries, 543939
Supershakti Met., 541701
Chandrima Mercan, 540829
Lehar Footwears, 532829
Evexia Lifecare, 524444
RDB Rasayans, 533608
Sh. Dinesh Mills, 503804
Riddhi Steel, 540082
National Perox., 544205
Integ. Proteins, 519606
Kalind, 526935
Nikhil Adhesives, 526159
BDH Industries, 524828
Talbros Engg., 538987
PNGS Gargi FJ, 543709
Bizotic Commer., 543926
Sunita Tools Ltd, 544001
Atvo Enterprises, 532090
Bright Outdoor, 543831
B-Right Real, 543543
Megamont, 523888
Marble City, 531281
Veer Global Inf., 543241
Jasch Gauging, 544112
Rotographics (I), 539922
S I Paper Mills, 516108
Swastika Investm, 530585
Ace Soft. Exp., 531525
Goodricke Group, 500166
Panasonic Carbon, 508941
Shish Industries, 540693
Satani Bearings, 505703
Vega Jewellers, 512026
GTV Engineering, 539479
Galaxy Bearings, 526073
GEE, 504028
Him Teknoforg., 505712
Exhicon Events, 543895
Tierra Agrotech, 543531
Laxmipati Engg, 537669
A-1, 542012
Integra Engg., 505358
Purple Finance, 544191
Indian Toners, 523586
Aveer Foods, 543737
Andhra Petrochem, 500012
Super Sales Ind., 512527
Apollo Finvest, 512437
Prime Fresh, 540404
Starlineps Enter, 540492
Sealmatic India, 543782
Innovators, 541353
Modern Malleable, 517336
Kaycee Inds., 504084
P. H. Capital, 500143
Hind.Organ.Chem., 500449
Regency Fincorp, 540175
Citizen Solar, 538786
Unifinz Capital, 541358
CWD, 543378
Nutricircle, 530219
Niyogin Fintech, 538772
Maruti Interior, 543464
Mishtann Foods, 539594
Intl. Travel Hse, 500213
Nidhi Granites, 512103
Artson, 522134
Coral Labs., 524506
String Metaverse, 534535
Kings Infra, 530215
Jhaveri Credits, 531550
Nagpur Power, 532362
Multibase India, 526169
Gennex Lab., 531739
Baroda Rayon, 500270
iStreet Network, 524622
Lak. Electrical, 504258
Ludlow Jute, 526179
Riddhi Siddhi Gl, 524480
Nurture Well Industries, 531889
Omnitex Industri, 514324
Bharat Global, 521238
Expo Engineering, 526614
Vashu Bhagnani, 532011
Gujjubhai Industries, 532070
SMT Engineering, 538563
Suditi Industrie, 521113
Sattrix Infor., 544189
Asgard Alcobev, 512025
Mardia Samyoung, 513544
Sharp India, 523449
True Green, 533407
Shahlon Silk, 542862
FratelliVineyard, 541741
Aryaman Capital, 538716
Shree Salasar, 503635
Northern Spirits, 542628
Alphalogic Tech., 542770
Shah Foods, 519031
Josts Engg. Co., 505750
ZR2 Bioenergy, 506640
Stovec Inds., 504959
Radix Industries, 531412
Caprihans India, 509486
Emrock Corporation, 531676
Gamco Ltd, 540097
Forbes & Co, 502865
Samor Reality, 543376
Innovassynth Technologies, 533315
Jay Ushin, 513252
Espire Hospi, 532016
ITCONS E-Soluti., 543806
Apis India, 506166
Logica Infoway, 543746
Naperol Invest., 500298
Likhami Consult., 539927
RDB Infrastruc., 533285
Jagatjit Inds., 507155
SBEC Sugar, 532102
Veefin Solutions, 543931
SJ Corp, 504398
Pipan Oils, 538537
Arvaya Healthcare, 524723
Keto Motors, 537392
Prec. Electronic, 517258
Wardwizard Foods, 539132
Asi Industries, 502015
Hi-Klass Trading, 542332
Balgopal Commer., 539834
Cropster Agro, 523105
Filtron Engineer, 531191
Emerald Leisures, 507265
KS Smart Technlogies, 516038
Suraj Industries, 526211
PG Foils, 526747
Artificial Elect, 526443
Kisan Mouldings, 530145
Hypersoft Tech., 539724
Aerpace Indus, 534733
Capital Trade Lk, 538476
Cosmo Ferrites, 523100
Oxygenta Pharma, 524636
Haryana Fin. Co., 530927
Polo Queen Ind., 540717
Madala Holdings, 532344
Kinetic Engg., 500240
Zenotech Lab., 532039
Alacrity Sec., 535916
Astal Lab, 512600
Everest Organics, 524790
Tejassvi Aaharam, 531628
Quest Capital, 500069
Blue Pearl Agri, 514440
Yamuna Syndicate, 540980
Veritas (India), 512229
Rudra Ecovation, 514010
RRP Defense, 530929
Fundviser Capit., 530197
Belding India, 513307
Bombay Oxygen, 509470
MKVentures Cap., 514238
Ratnabhumi Dev., 540796
Ekansh Concept, 531364
UVS Hospitality, 531652
Avishkar Infra, 508929
Raghuvir Synth, 514316
Suyog Gurbaxani, 543391
Shriram AMC, 531359
Cupid Breweries, 512361
Jaybharat Text, 512233
Waaree Tech., 539337
Axentra Corp, 511634
Corporate Merch, 540199
Khemani Distrib., 539788
Vaarad Ventures, 532320
Kerala Ayurveda, 530163
Adon Agro, 544809
Recode Studios, 544755
Technocrats Plasma, 544877
Vegorama Punjabi, 544765
Complete Sports and Management, 544900
Devson Catalyst, 544823
Kwick Forensic, 544895
Rajesh Power, 544291
Unified Data, 544406
Parmeshwar Metal, 544330
Merritronix, 544773
ACE Alpha Tech, 544431
Leapfrog Engg., 544797
Zelio E-Mobility, 544563
Workmates Core2, 544610
Msafe Equipments, 544695
Adcounty Media., 544435
Susan Electrical, 544793
KP Green Engg., 544150
Horizon Reclaim, 544794
Purple Wave Info, 544627
TIPCO Engineering, 544740
GRE Renew, 544682
Infinity Infoway, 544567
Goel Construct., 544504
Indo SMC, 544681
JD Cables, 544524
Poojaa Precision Engg., 544844
Novus Loyalty, 544735
Nisus Finance, 544296
Neetu Yoshi, 544434
Covance Softsol, 544361
Pajson Agro, 544657
Sotefin Bharat, 544832
L. T. Elevator, 544518
Aptus Pharma, 544529
Cryogenic OGS, 544440
Sugs Lloyd, 544501
Monarch Surve., 544453
Exato Technologies, 544626
SK Minerals & Additives, 544584
Airfloa Rail, 544516
True Colors, 544531
Admach Systems, 544669
Telge Projects, 544544
B.R.Goyal Infra., 544335
CLN Energy, 544347
Paradeep Pari., 544383
Patel Chem, 544460
BharatRohan Air., 544535
